Market,Host / operator,Airbnb host/profile link,Airbnb property links,Website / property link,Estimated property count,Email,Email status,Fit status,Evidence / notes,Review status,Damiano approval,Last updated
Milan,Andreia Oliveira / Ray Home Milan,Not verified,https://www.airbnb.com/rooms/1350772298922998103; https://www.airbnb.com/rooms/1352930338504986280; https://www.airbnb.com/rooms/1450790004595736708,Not verified,At least 3 Ray Home Milan listings found,Not verified,Needs contact-route search,Strong target-style candidate if contact found,"Airbnb snippets show Ray Home 1, 2 and 9 in Milan hosted/managed by Andreia Oliveira, Property Manager. Fits the 2-10 property band; needs public off-Airbnb contact route and listing-quality/pricing review.",Needs contact + listing review,Needs Damiano approval before any email,2026-07-31
Milan,Deltico,Not verified,https://www.airbnb.com/rooms/1401426235682986017; https://www.airbnb.com/rooms/1695578335473374308; https://www.airbnb.com/rooms/1115954956175433910; https://www.airbnb.com/rooms/1452051144600224680,Not verified,34 Milan listings per Airbtics snapshot,Not verified,Needs direct contact if ever reopened,Parked / above target,Airbnb snippets show Deltico as Milan property management company; Airbtics snapshot says 34 Milan listings. Too large for first batch but useful as market map.,Parked market-map,Needs Damiano approval before any email,2026-07-31
Milan,EasyHomes S.r.l. / easyhomes,Not verified,https://www.airbnb.com/rooms/15923424; https://www.airbnb.com/rooms/52123597; https://www.airbnb.com/rooms/32534097,https://www.easyhomes.it/en/home-page/,5 visible properties,info@easyhomes.it,Verified public email,Strong Milan candidate,"Compact Milan portfolio with central Duomo/Brera/Porta Venezia positioning. Premium quality but still manageable, with potential fit for listing optimisation and PriceLabs/dynamic-pricing audit if Airbnb calendar/pricing shows upside.",Needs final Airbnb/profile and pricing review,Needs Damiano approval before any email,2026-07-31
Milan,Heart Milan Apartments,Not verified,Not verified,Website/property page needs exact URL,Multiple central Milan apartments,welcome@heart-apartments.com,Verified public email,Candidate after profile review,CRM says Airbnb snippet shows hosted by Heart Milan Apartments with 198 reviews on a top listing. Exact Airbnb profile/listing links not verified yet.,Needs exact Airbnb link review,Needs Damiano approval before any email,2026-07-31
Milan,Hostmate,Not verified,https://www.airbnb.com/rooms/1343470463252601298; https://www.airbnb.com/rooms/909183577389849032,https://welkodia.com/en/community-map/property-management/conciergerie-milano-hostmate,81 Milan listings per Airbtics snapshot,contact@hostmate.it; +39 02 8089 8654,Verified via Welkodia directory,Parked / too large,Welkodia lists contact details and services; Airbtics snapshot indicates 81 Milan listings. Too large/professional for current 2-10 property target.,Parked market-map,Needs Damiano approval before any email,2026-07-31
Milan,HouseinMilano,https://www.airbnb.it/users/show/2718914,Not verified,https://www.houseinmilano.com/en/apartments-in-milan-vacation-rental-short-term-accommodation/,6-8 visible Milan properties; Airbnb profile shows 2050 reviews,houseinmilano@gmail.com; +39 351 6476946; +39 334 8837371,Verified public email/phones,"Strong Milan candidate, needs exact Airbnb listing links",Central boutique-scale operator with Duomo/Brera/Navigli/Porta Venezia/Garibaldi focus and furnished 1-3 bedroom stock. Good target if exact Airbnb property links and listing/pricing upside are confirmed.,Needs exact Airbnb property-link review,Needs Damiano approval before any email,2026-07-31
Milan,InstaHome,Not verified,Not verified,Website/contact route in CRM,16 properties visible in prior CRM notes,info@instahome.it,Verified public email,Parked / slightly above target,Useful backup only if a specific weak listing is verified. Not priority for current small-host test.,Parked,Needs Damiano approval before any email,2026-07-31
Milan,Luca Hosting Milan,Not verified,https://www.airbnb.com/rooms/1355830249120854705; https://www.airbnb.com/rooms/707115220858798520,Not verified,At least 2 Milan listings found,Not verified,Needs contact-route search,Target-style candidate if contact found,"Airbnb snippets show Luca Hosting as Superhost/property manager with a design loft and Citta Studi/Loreto room. Fits small-host pattern, but exact profile/contact route still missing.",Needs contact + profile review,Needs Damiano approval before any email,2026-07-31
Milan,MilanInFlat S.r.l.,Not verified,https://www.airbnb.com/rooms/13756953,https://www.milaninflat.com/en/short-term-apartments,7-9 visible properties,info@milaninflat.com; +39 3472798989,Verified public email/phone,"Good benchmark-size candidate, needs more review","Central Milan footprint across Garibaldi/Porta Nuova, Navigli, NoLo, Porta Venezia and Repubblica. Public owner-management pages and about 7-9 properties. Slightly commercial but still close to target band.",Needs exact Airbnb profile + listing/pricing review,Needs Damiano approval before any email,2026-07-31
Milan,Milano Rooms,Not verified,Not verified,Website/contact route in CRM,Larger operator,info@milanorooms.com,Verified public email,Parked / too large,Full-service management / guaranteed monthly rent positioning. Not target for first test.,Parked,Needs Damiano approval before any email,2026-07-31
