Segment,Priority,Name / Search,Company / Parent,Category / Area,LinkedIn URL,Website,Status,Confidence,Notes
Service Provider,A,Justlife,,Cleaning / housekeeping / services marketplace,https://www.linkedin.com/company/justlife/,https://www.justlife.com/ae-en/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,ServiceMarket,,Services marketplace / provider source,https://www.linkedin.com/company/servicemarket/,https://servicemarket.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Urban Company,,Home services / cleaning / maintenance,https://www.linkedin.com/company/urbancompany/,https://www.urbancompany.com/dubai,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Mplus,,Facilities management / maintenance,https://www.linkedin.com/company/mplus/,https://www.mplus.ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Hitches & Glitches,,Maintenance / technical / handyman,https://www.linkedin.com/company/hitches-and-glitches/,https://www.hitchesandglitches.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,We Will Fix It,,Maintenance / technical / handyman,https://www.linkedin.com/company/wewillfixit/,https://www.wewillfixit.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Fixperts,,Maintenance / technical / handyman,https://www.linkedin.com/company/fixperts/,,Exact LinkedIn company page checked live,Medium,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Transguard Living,,Facilities management / home services,https://www.linkedin.com/company/transguard-living/,https://www.transguardliving.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,The Healthy Home,,Cleaning / indoor health / AC duct / mattress,https://www.linkedin.com/company/the-healthy-home/,https://thehealthyhome.me/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Washmen,,Laundry / linen,https://www.linkedin.com/company/washmen/,https://www.washmen.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Laundryheap,,Laundry / dry cleaning,https://www.linkedin.com/company/laundryheap/,https://www.laundryheap.com/ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Move One,,Moving / relocation / logistics,https://www.linkedin.com/company/move-one/,https://www.moveoneinc.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,The Box,,Storage / moving / logistics,https://www.linkedin.com/company/the-box/,https://theboxme.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Zen Interiors,,Interior design / furnishing / styling,https://www.linkedin.com/company/zen-interiors/,https://www.zeninteriors.net/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Bishop Design,,Interior design / architecture,https://www.linkedin.com/company/bishop-design/,https://bishopdesign.ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Designsmith,,Interior design / fit-out,https://www.linkedin.com/company/designsmith/,https://designsmith.ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Antonovich Group,,Luxury interior design / architecture,https://www.linkedin.com/company/luxury-antonovich-design/,https://antonovich-design.ae/,Exact LinkedIn company page checked live,Medium,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Rentokil Boecker,,Pest control / hygiene,https://www.linkedin.com/company/boecker-public-health/,https://www.boecker.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,National Pest Control,,Pest control,https://www.linkedin.com/company/national-pest-control/,https://www.natpest.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Imdaad,,Facilities management / maintenance,https://www.linkedin.com/company/imdaad/,https://www.imdaad.ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Dubai Clean,,Cleaning / facilities,https://www.linkedin.com/company/dubai-clean/,,Exact LinkedIn company page checked live,Medium,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Maintenance Plus,,Maintenance / technical,https://www.linkedin.com/company/maintenance-plus/,,Exact LinkedIn company page checked live,Medium,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Dussmann Gulf,,Facilities management,https://www.linkedin.com/company/dussmann-gulf/,https://www.dussmann.ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,ServeU,,Facilities management,https://www.linkedin.com/company/serve-u/,https://www.serveu.ae/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,Khansaheb Facilities Management,,Facilities management / technical,https://www.linkedin.com/company/khansaheb-facilities-management/,https://khansahebfm.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
Service Provider,A,EFS Facilities Services,,Facilities management,https://www.linkedin.com/company/efs-facilities-services-group/,https://efsme.com/,Exact LinkedIn company page checked live,High,Research only. No outreach sent. Confirm profile before external message.
