Original Row ID,Provider Type,Category,Priority,Name / Search,LinkedIn URL,Website,Location,Evidence,Confidence,Notes,Original LinkedIn URL,Corrected LinkedIn URL,Audit Action,Verification Status,Verification Method,Verification Date,Evidence URLs,Verified Business Contact Fallback,Audit Note,Identity Status,Geography Status,Dubai Coverage Evidence URL,Dubai Coverage Evidence,Queue Decision
NM-SP-021,Company,Cleaning / facilities,B,Dubai Clean,https://www.linkedin.com/company/dubai-clean/,,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,Medium,Needs website/contact verification,https://www.linkedin.com/company/dubai-clean/,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_COMPANY,INSUFFICIENT_IDENTITY_EVIDENCE,2026-09-13,https://dubaiclean.com/,https://dubaiclean.com/,"The old generic LinkedIn slug could not be tied to the DubaiClean business; official website found, but no source-backed LinkedIn profile.",IDENTITY_UNVERIFIED,DUBAI_CONFIRMED,https://dubaiclean.com/,Official site says DubaiClean provides cleaning and technical property services across Dubai; LinkedIn identity remains unverified.,HOLD_UNVERIFIED
NM-SP-022,Company,Maintenance / technical,B,Maintenance Plus,https://www.linkedin.com/company/maintenance-plus/,,Dubai/UAE,Live LinkedIn company URL checked by HTTP 200,Medium,Needs website/contact verification,https://www.linkedin.com/company/maintenance-plus/,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_COMPANY,INSUFFICIENT_IDENTITY_EVIDENCE,2026-09-13,,No verified official business website/contact page recovered; re-research by trade-name/licence before use.,Maintenance Plus is a generic name and the indexed LinkedIn evidence did not establish the Dubai business identity.,IDENTITY_UNVERIFIED,DUBAI_CONFIRMED,https://maintenanceplus.ae/,Official site says Maintenance Plus provides property and building maintenance throughout Dubai; the old LinkedIn slug resolves to a US company.,HOLD_UNVERIFIED
NM-SP-042,Company,Channel management / hotel tech,C,SiteMinder,https://www.linkedin.com/company/siteminder/,https://www.siteminder.com/,Global/UAE users,Live LinkedIn company URL checked by HTTP 200,High,Distribution/channel manager,https://www.linkedin.com/company/siteminder/,https://www.linkedin.com/company/siteminder/,UNCHANGED_VERIFIED,READY_VERIFIED,INDEXED_LINKEDIN_IDENTITY_PLUS_OFFICIAL_BUSINESS_SOURCE,2026-09-13,https://www.siteminder.com/ | https://www.linkedin.com/company/siteminder/,https://www.siteminder.com/,Exact company identity and service/geography context matched the source-backed profile.,IDENTITY_VERIFIED,NON_DUBAI,https://www.linkedin.com/company/siteminder/,"Verified company profile says SiteMinder is headquartered in Sydney and lists global offices, none in Dubai/UAE; no official Dubai/UAE service-coverage proof was recovered.",HOLD_NON_DUBAI
NM-SP-044,Company,Tadbeer / domestic worker services,C,Tadbeer,https://www.linkedin.com/company/tadbeer/,https://tadbeer.gov.ae/,UAE,Live LinkedIn company URL checked by HTTP 200,Medium,Only relevant if legal/domestic staffing route opens,https://www.linkedin.com/company/tadbeer/,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_COMPANY,INSUFFICIENT_IDENTITY_EVIDENCE,2026-09-13,,"Select a named licensed Tadbeer centre first, then verify that centre’s official contact route.","Tadbeer is a UAE service-centre programme/brand, not one uniquely identified company; old slug could not be verified to the intended centre.",IDENTITY_UNVERIFIED,UAE_BROADER_NOT_DUBAI_CONFIRMED,https://www.tadbeer.ae/about-us,Tadbeer is a programme/brand with multiple licensed centres; this generic row does not identify one Dubai outreach target.,HOLD_UNVERIFIED
NM-SP-047,Freelancer search,Freelance property manager,B,Freelance Property Manager Dubai,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Property%20Manager%20Dubai,,Dubai,"LinkedIn people-search route, login may be required",Route,"Use to find individual profiles, then qualify manually",https://www.linkedin.com/search/results/people/?keywords=Freelance%20Property%20Manager%20Dubai,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_SEARCH_ROUTE,NOT_A_PROFILE,2026-09-13,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Property%20Manager%20Dubai,No business contact fallback until an actual named candidate is selected and verified.,"Generic LinkedIn people-search URL; it identifies no person, employer, role, or location.",IDENTITY_UNVERIFIED,UNVERIFIED,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Property%20Manager%20Dubai,"LinkedIn query text contains Dubai, but a search route is not evidence of a named person, role, employer or location.",HOLD_UNVERIFIED
NM-SP-048,Freelancer search,Freelance guest relations / concierge,B,Freelance Guest Relations Dubai holiday homes,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Guest%20Relations%20Dubai%20holiday%20homes,,Dubai,"LinkedIn people-search route, login may be required",Route,"Use to find individual profiles, then qualify manually",https://www.linkedin.com/search/results/people/?keywords=Freelance%20Guest%20Relations%20Dubai%20holiday%20homes,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_SEARCH_ROUTE,NOT_A_PROFILE,2026-09-13,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Guest%20Relations%20Dubai%20holiday%20homes,No business contact fallback until an actual named candidate is selected and verified.,"Generic LinkedIn people-search URL; it identifies no person, employer, role, or location.",IDENTITY_UNVERIFIED,UNVERIFIED,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Guest%20Relations%20Dubai%20holiday%20homes,"LinkedIn query text contains Dubai, but a search route is not evidence of a named person, role, employer or location.",HOLD_UNVERIFIED
NM-SP-049,Freelancer search,Freelance check-in agent,B,Freelance Check In Agent Dubai Airbnb,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Check%20In%20Agent%20Dubai%20Airbnb,,Dubai,"LinkedIn people-search route, login may be required",Route,"Use to find individual profiles, then qualify manually",https://www.linkedin.com/search/results/people/?keywords=Freelance%20Check%20In%20Agent%20Dubai%20Airbnb,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_SEARCH_ROUTE,NOT_A_PROFILE,2026-09-13,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Check%20In%20Agent%20Dubai%20Airbnb,No business contact fallback until an actual named candidate is selected and verified.,"Generic LinkedIn people-search URL; it identifies no person, employer, role, or location.",IDENTITY_UNVERIFIED,UNVERIFIED,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Check%20In%20Agent%20Dubai%20Airbnb,"LinkedIn query text contains Dubai, but a search route is not evidence of a named person, role, employer or location.",HOLD_UNVERIFIED
NM-SP-050,Freelancer search,Freelance operations assistant,B,Freelance Operations Assistant Dubai holiday homes,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Operations%20Assistant%20Dubai%20holiday%20homes,,Dubai,"LinkedIn people-search route, login may be required",Route,"Use to find individual profiles, then qualify manually",https://www.linkedin.com/search/results/people/?keywords=Freelance%20Operations%20Assistant%20Dubai%20holiday%20homes,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_SEARCH_ROUTE,NOT_A_PROFILE,2026-09-13,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Operations%20Assistant%20Dubai%20holiday%20homes,No business contact fallback until an actual named candidate is selected and verified.,"Generic LinkedIn people-search URL; it identifies no person, employer, role, or location.",IDENTITY_UNVERIFIED,UNVERIFIED,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Operations%20Assistant%20Dubai%20holiday%20homes,"LinkedIn query text contains Dubai, but a search route is not evidence of a named person, role, employer or location.",HOLD_UNVERIFIED
NM-SP-051,Freelancer search,Freelance revenue manager,B,Freelance Revenue Manager Dubai short term rental,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Revenue%20Manager%20Dubai%20short%20term%20rental,,Dubai,"LinkedIn people-search route, login may be required",Route,"Use to find individual profiles, then qualify manually",https://www.linkedin.com/search/results/people/?keywords=Freelance%20Revenue%20Manager%20Dubai%20short%20term%20rental,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_SEARCH_ROUTE,NOT_A_PROFILE,2026-09-13,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Revenue%20Manager%20Dubai%20short%20term%20rental,No business contact fallback until an actual named candidate is selected and verified.,"Generic LinkedIn people-search URL; it identifies no person, employer, role, or location.",IDENTITY_UNVERIFIED,UNVERIFIED,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Revenue%20Manager%20Dubai%20short%20term%20rental,"LinkedIn query text contains Dubai, but a search route is not evidence of a named person, role, employer or location.",HOLD_UNVERIFIED
NM-SP-052,Freelancer search,Freelance pricing strategist,B,Freelance Pricing Strategist Dubai Airbnb,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Pricing%20Strategist%20Dubai%20Airbnb,,Dubai,"LinkedIn people-search route, login may be required",Route,"Use to find individual profiles, then qualify manually",https://www.linkedin.com/search/results/people/?keywords=Freelance%20Pricing%20Strategist%20Dubai%20Airbnb,,HELD_NO_REPLACEMENT,HOLD_UNVERIFIED_SEARCH_ROUTE,NOT_A_PROFILE,2026-09-13,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Pricing%20Strategist%20Dubai%20Airbnb,No business contact fallback until an actual named candidate is selected and verified.,"Generic LinkedIn people-search URL; it identifies no person, employer, role, or location.",IDENTITY_UNVERIFIED,UNVERIFIED,https://www.linkedin.com/search/results/people/?keywords=Freelance%20Pricing%20Strategist%20Dubai%20Airbnb,"LinkedIn query text contains Dubai, but a search route is not evidence of a named person, role, employer or location.",HOLD_UNVERIFIED
