priority,prospect,contact_or_signal,primary_use,status
1,Green Sky Holiday Homes,Mona Mohamed,ORL free one-listing revenue leak audit,Review first
2,Sama Al Dar Holiday Homes,Hussain Al Habobi,ORL free one-listing revenue leak audit,Review first
3,Daniels Holiday Homes,Daniel Drommel,ORL free one-listing revenue leak audit,Review first
4,Ihaca Vacation Homes,Kristin Weninger,ORL free one-listing revenue leak audit,Review first
5,McLiving,Natalia McLellan,ORL free one-listing revenue leak audit,Review first
6,Arbab Holiday Homes,Public operator signal,ORL free one-listing revenue leak audit,Review first
7,Relaxy Stay,Public operator signal,ORL free one-listing revenue leak audit,Review first
8,Rentico,Public operator signal,ORL free one-listing revenue leak audit,Review first
9,Totality Holiday Homes,Public operator signal,ORL later review,Lower-priority review
10,Stayfinity,Public operator signal,ORL later review,Lower-priority review
11,Exclusive Links Vacation Homes,Public operator signal,ORL later review,Lower-priority review
12,Homevy,Kyle Johnson,ORL later review,Lower-priority review
13,Royal Holiday Homes,Nidal Natik,ORL later review,Lower-priority review
14,StayBetterDXB,Taimur Khan,ORL later review,Lower-priority review
15,Transparency Holiday Homes,Transparency Estate,ORL later review,Lower-priority review
16,DVH Holiday Homes,Established operator,ORL benchmark / later outreach,Benchmark / later
17,Purple Holiday Homes,Established operator,ORL benchmark / later outreach,Benchmark / later
18,S Holiday Homes,Established operator,ORL benchmark / later outreach,Benchmark / later
19,Stay Local Holiday Homes,Established operator,ORL benchmark / later outreach,Benchmark / later
20,Wyz Rent,Established operator,ORL benchmark / later outreach,Benchmark / later
21,First Class Property Management,Established operator,ORL benchmark / later outreach,Benchmark / later
22,GuestReady UAE,Large operator,Market benchmark,Benchmark only
23,Frank Porter,Large operator,Market benchmark,Benchmark only
24,Vacationer Holiday Homes,Large operator,Market benchmark,Benchmark only
25,Deluxe Holiday Homes,Large operator,Market benchmark,Benchmark only
26,Rovehaven,Established operator,Market benchmark,Benchmark only
27,Livbnb,Large operator,Market benchmark,Benchmark only
28,bnbme Holiday Homes,Large operator,Market benchmark,Benchmark only
29,Holiday Homes in Dubai,Large/operator article route,Market benchmark,Benchmark only
30,First Class Property Management,Duplicate tracker entry,Duplicate benchmark entry,Duplicate / benchmark only
