Received date,Source email,Message ID,Area,Subcommunity / tower,Property type,Price AED,Unit details,Listing title,Business line,Fit verdict,Outreach allowed?,Next action
2026-07-26,FW: 60 new properties match Springs!,19f9e7ca4857a564,The Springs,Springs 9,Villa,4400000,"2 Bedrooms 3 Bathrooms 1,857 sqft",EXCLUSIVE | Renovated | Extended...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-26,FW: 60 new properties match Springs!,19f9e7ca4857a564,The Springs,Springs 12,Villa,3600000,"2 Bedrooms 2 Bathrooms 1,690 sqft",Fully Upgraded | Private Locatio...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-26,FW: 60 new properties match Springs!,19f9e7ca4857a564,The Springs,Springs 3,Villa,4100000,"2 Bedrooms 3 Bathrooms 1,796 sqft",Vacant | Renovation Ready | Larg...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-26,FW: 60 new properties match Springs!,19f9e7ca4857a564,The Springs,Springs 12,Villa,4799000,"3 Bedrooms 4 Bathrooms 1,690 sqft",High ROI 7% | Fully Upgraded | S...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-24,FW: 11 new properties match Greens!,19f940e833d9558a,The Greens,Al Samar 3,Apartment,1300000,1 Bedrooms 1 Bathrooms 765 sqft,Tenanted | Strong Investment | L...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-24,FW: 11 new properties match Greens!,19f940e833d9558a,The Greens,Al Dhafra 3,Apartment,1350000,1 Bedrooms 1 Bathrooms 758 sqft,Great Deal | High Demand Communi...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-24,FW: 11 new properties match Greens!,19f940e833d9558a,Unknown,The Onyx Tower 2,Apartment,1960000,1 Bedrooms 1 Bathrooms 761 sqft,High-End 1BR Apartment | Metro A...,Lux Oasis Renovation / property flipping,Review only: area not matched to saved flip rule,No,No outreach.
2026-07-24,FW: 11 new properties match Greens!,19f940e833d9558a,The Greens,Al Arta 4,Apartment,1350000,1 Bedrooms 1 Bathrooms 753 sqft,MOTIVATED SELLER |1BR |VACANT ON...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-19,FW: 50 new properties match Springs!,19f7a4d92e9ab705,The Springs,Springs 7,Villa,4900000,"3 Bedrooms 3 Bathrooms 2,531 sqft",3M | Fully upgraded | Prime loca...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-19,FW: 50 new properties match Springs!,19f7a4d92e9ab705,The Springs,Springs 1,Townhouse,4750000,"2 Bedrooms 2 Bathrooms 1,794 sqft",Single Row | Upgraded | Vacant o...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-19,FW: 50 new properties match Springs!,19f7a4d92e9ab705,The Springs,Springs 3,Villa,3750000,"2 Bedrooms 2 Bathrooms 1,647 sqft",Modern Design | Vacant Now | Sin...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-19,FW: 50 new properties match Springs!,19f7a4d92e9ab705,The Springs,Springs 8,Villa,5900000,"3 Bedrooms 4 Bathrooms 2,745 sqft",FULLY RENOVATED | VACANT | SINGL...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-17,FW: 21 new properties match Greens!,19f701504dc973e1,Unknown,The Onyx Tower 2,Apartment,2350000,"1 Bedrooms 2 Bathrooms 1,156 sqft",High Floor 1BR | The Onyx Tower 2,Lux Oasis Renovation / property flipping,Review only: area not matched to saved flip rule,No,No outreach.
2026-07-17,FW: 21 new properties match Greens!,19f701504dc973e1,The Greens,Al Alka 1,Apartment,1290000,1 Bedrooms 1 Bathrooms 729 sqft,Furnished 1BR | Garden View | Gr...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-17,FW: 21 new properties match Greens!,19f701504dc973e1,The Greens,Al Nakheel 1,Apartment,1260000,1 Bedrooms 1 Bathrooms 680 sqft,Vacant | Close to the Souk | Wel...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-17,FW: 21 new properties match Greens!,19f701504dc973e1,The Greens,Al Thayyal 1,Apartment,1500000,1 Bedrooms 1 Bathrooms 800 sqft,1 Bedroom Apartment for Sale | A...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-12,FW: 39 new properties match Springs!,19f56721fbd0ccf6,The Springs,Springs 4,Villa,5500000,"3 Bedrooms 4 Bathrooms 2,623 sqft",Vacant | Private Pool | Fully Up...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-12,FW: 39 new properties match Springs!,19f56721fbd0ccf6,The Springs,Springs 4,Villa,3050000,"2 Bedrooms 3 Bathrooms 1,857 sqft",Type 4M | Single Row I VOT I Mot...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-12,FW: 39 new properties match Springs!,19f56721fbd0ccf6,The Springs,Springs 5,Villa,6700000,"3 Bedrooms 4 Bathrooms 2,765 sqft",Upgraded | VOT | Type 1M | Extended,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-12,FW: 39 new properties match Springs!,19f56721fbd0ccf6,The Springs,Springs 5,Villa,6700000,"4 Bedrooms 3 Bathrooms 2,766 sqft",Largest Layout | Type 1 | Vacant...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-10,FW: 21 new properties match Greens!,19f4c006add2405b,The Greens,Al Nakheel 1,Apartment,1777000,1 Bedrooms 1 Bathrooms 985 sqft,Prime Location | Rare Unit | Vac...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-10,FW: 21 new properties match Greens!,19f4c006add2405b,The Greens,Al Arta 1,Apartment,1350000,1 Bedrooms 1 Bathrooms 739 sqft,Tenanted | Low Floor | Prime Loc...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-10,FW: 21 new properties match Greens!,19f4c006add2405b,The Greens,Al Samar 3,Apartment,1559999,1 Bedrooms 1 Bathrooms 758 sqft,Rented | Fully Furnished | Upgraded,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-10,FW: 21 new properties match Greens!,19f4c006add2405b,The Greens,Al Samar 1,Apartment,1697000,"1 Bedrooms 1 Bathrooms 1,040 sqft","Courtyard | 5,7% Net ROI | Upgra...",Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-05,FW: 55 new properties match Springs!,19f325ad8c564a7b,The Springs,Springs 14,Villa,4950000,"3 Bedrooms 3 Bathrooms 2,343 sqft",Exclusive | Type 3M | Back to Back,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-05,FW: 55 new properties match Springs!,19f325ad8c564a7b,The Springs,Springs 1,Villa,5775000,"3 Bedrooms 3 Bathrooms 3,695 sqft",Renovated I 3 Bedroom + Maid + S...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-05,FW: 55 new properties match Springs!,19f325ad8c564a7b,The Springs,Springs 12,Villa,7500000,"4 Bedrooms 4 Bathrooms 3,676 sqft",Fully Upgraded | Lake View | Pri...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-05,FW: 55 new properties match Springs!,19f325ad8c564a7b,The Springs,Springs 4,Townhouse,4250000,"2 Bedrooms 2 Bathrooms 1,690 sqft",SPRINGS 4 | FULLY UPGRADED | VAC...,Lux Oasis Renovation / property flipping,Review only: Springs flip threshold not confirmed in saved rules,No,Do not outreach. Save as watchlist until Damiano confirms Springs buy-box.
2026-07-03,FW: 12 new properties match Greens!,19f27e8e012a6bb7,The Greens,Al Arta 2,Apartment,1560000,1 Bedrooms 1 Bathrooms 752 sqft,Luxury Upgrade | Community Livin...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-03,FW: 12 new properties match Greens!,19f27e8e012a6bb7,The Greens,Al Dhafra 3,Apartment,1350000,1 Bedrooms 1 Bathrooms 758 sqft,Great Deal | High Demand Communi...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-03,FW: 12 new properties match Greens!,19f27e8e012a6bb7,The Greens,Al Arta 3,Apartment,1400000,1 Bedrooms 1 Bathrooms 800 sqft,Spacious 1BR | Pool View | High ...,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-07-03,FW: 12 new properties match Greens!,19f27e8e012a6bb7,The Greens,Al Thayyal 1,Apartment,1450000,1 Bedrooms 1 Bathrooms 800 sqft,Emaar 1BR | Investor Deal | Rented,Lux Oasis Renovation / property flipping,No fit: outside saved Greens 1BR AED 1.0m-1.05m flip box,No,Keep watching only; no outreach.
2026-06-19,FW: 17 new properties match Greens!,19edffb4b783b27d,The Greens,Needs manual card recovery,Unknown,Unknown,No cards extracted,Damiano Pesciaioli +971 563903074 Dubai UAE + WhatsApp Business +39 3332202389 Italia + WhatsApp From: Property Finder &,Lux Oasis Renovation / flipping watchlist,Manual review only; no extracted price/unit card,No,Do not outreach. Re-open only if Damiano asks for this old alert.
