Date,Lead,Market,Contact route,Scale signal,ORL/OGL angle,Status,Next action
2026-08-15,Azeroth PM,Bali,"info@azerothpm.com; booking@azerothpm.com; +62 811 3801 4100; +62 811 3801 4200","Bali STR management; PriceLabs/Beyond; owner portal; net reporting","Peer revenue-management exchange or channel partnership, not basic education","Damiano reported all manual-pack emails sent 2026-08-30; reply watch","Monitor for reply; no resend unless Damiano approves"
2026-08-15,Individual Bali Villas / Individual Bali Hospitality,Bali,"info@individualbalivillas.com; +62 811 399513 from search result; website form","Online marketing 15%; full management 20%; AI-driven dynamic pricing; owner portal","External revenue audit/reporting layer plus Oasis Guest Lab guest-message QA","Research verified; draft not sent","Verify current email/phone from site or social before any send"
2026-08-15,Kingswood Bali Villas,Bali,"Website/property-management page; clean email not extracted yet","Canggu case study; under 40% occupancy to 85%; strategic pricing and marketing","Revenue-case benchmark and possible peer conversation","Research verified; no clean contact","Find clean email/WhatsApp before draft"
2026-08-15,Bali Villa Management / PT Bali Villa Management,Bali,"info@balivillamanagement.com; +62 361 9004777; +62 361 9004778","Denpasar villa management and holiday-rental marketing","Pricing/listing/reporting second opinion for older-school operator","Research verified; draft not sent","Check portfolio size, then prepare concise revenue-review opener"
2026-08-15,Short Stay Bali / Tertata Jelas MGMT,Bali,"Website contact path only; /contact returned 404; site menu exposes Contact","70+ villas; 2 resorts; 90 staff; dynamic pricing; owner portal; Marriott Homes & Villas","Market-map/channel lead and ORL positioning benchmark","Research verified; contact route incomplete","Recover contact page or social route"
2026-08-15,Balitecture / Spacious Bali management,Bali,"Website enquiry/consultation form","80+ villas; 85% average occupancy; dynamic pricing; 20% fee; monthly reporting","Mature operator benchmark or peer/operator revenue discussion","Research verified; form route","Keep as benchmark unless partner outreach is approved"
2026-08-30,Balimmo,Bali,"hello@balimmo-management.com","Bali villa management; public page says listings optimised across channels, full-service operations, revenue and guest experience","Good new ORL target: operator already values revenue and guest experience, but less over-scaled than BaliSuperHost","New verified contact; draft not sent","Prepare strict revenue-manager outreach around one villa, photo order, price logic, open nights and owner-ready observations"
2026-08-30,Bali Luxe Management,Bali,"info@baliluxemanagement.com; +6282230887516","Bali-based villa management and hospitality; structured management, thoughtful service, owners/developers/investors","Good new ORL target: polished enough to understand owner value, still approachable for one-listing revenue review","New verified contact; draft not sent","Prepare revenue review opener; avoid generic AI pitch"
2026-08-30,Villa Management Bali,Bali,"contact@villa-management-bali.com; WhatsApp +62 8133 7334 871; phone +62 8133 7335 871","Pricing page says transparent plans, OTA listings, dynamic pricing, guest communication and monthly financial report","Strong ORL target: direct hook into pricing plan, dynamic pricing and monthly reporting","New verified contact; draft not sent","Draft one-listing revenue audit focused on price rules, min-stay, calendar gaps and listing presentation"
2026-08-30,Bali Estate Manager,Bali,"Contact form only; contact page verified","Site exposes villa rental management, owner reporting, transparent fees, licensing/tax liaison and 24/7 operations","Useful research/form-route target: owner reporting language fits ORL, but no direct email found yet","New form-route lead; not send-ready by email","Recover email or use website form only if Damiano approves"
2026-08-30,Nagisa Bali,Bali,"info@nagisa-bali.com; +62361490165","Luxury Bali villa management and marketing; broad Bali area coverage; established operator","Benchmark/possible partner: likely mature, but clean contact and management/marketing angle","New verified contact; draft not sent","Keep behind smaller targets; use only if we want a peer/benchmark conversation"
