Company/Person,Type,Public source,Why relevant,Fit score,Status,Next action
DVH Holiday Homes,Dubai holiday-home operator,https://holidayhomemanagers.com/,"Licensed Dubai holiday-home operator listed with Dubai Marina, JBR, Palm and Dubai management scope; likely understands owner reporting and pricing pain.",78,Research only,Verify decision-maker and whether they use PriceLabs/Hostaway/Guesty before outreach
Purple Holiday Homes,Dubai holiday-home operator,https://purpleholidayhomes.ae/,"Public site states Dubai holiday-home management with dynamic pricing and owner dashboard; possible Revenue Lab audit target or benchmark.",74,Research only,Find founder/operator contact and qualify portfolio size
StayBetterDXB / Taimur Khan,Boutique holiday-home operator,https://www.luxurialifestyle.com/dubais-top-5-airbnb-management-companies/,"Boutique operator profile mentions AI-powered pricing optimisation; likely open to revenue-performance discussion but may already have internal capability.",70,Research only,Verify official company/contact route before any approach
Green Sky Holiday Homes / Mona Mohamed,Holiday-home operator founder,https://ae.linkedin.com/in/mona-mohamed-8592a41a5,"Founder/CEO of Dubai holiday-home management company; possible boutique-operator ICP if portfolio size is suitable.",72,Research only,Research company website and public contact route
Royal Holiday Homes / Nidal Natik,Holiday-home operator founder,https://ae.linkedin.com/in/nidal-natik,"Founder/operator profile mentions OTA optimisation and advanced pricing strategies; possible peer or beta target if open to tools.",68,Research only,Verify company size and contact route
Homevy / Kyle Johnson,Dubai Airbnb management company,https://www.digitaljournal.com/article/dubai-airbnb-management-firm-ceo-writes-personal-welcome-letters-to-every-guest/,"Dubai Airbnb management firm with founder-led service angle; potential boutique operator for revenue leak audit.",70,Research only,Find official site and decision-maker contact
Daniels Holiday Homes / Daniël Drommel,Holiday-home operator founder,https://ae.linkedin.com/in/dani%C3%ABl-drommel-b80b5b137,"Dubai holiday-home operator founder; possible operator lead if portfolio size and revenue pain fit.",66,Research only,Verify business details and public contact
Ihaca Vacation Homes / Kristin Weninger,Holiday-home operator founder,https://ae.linkedin.com/in/kristin-weninger-9ba157351,"Founder profile in luxury holiday homes/relocation; possible premium operator or advisory prospect.",64,Research only,Qualify whether STR revenue-management support is relevant
Sama Al Dar Holiday Homes / Hussain Al Habobi,Holiday-home operator founder,https://ae.linkedin.com/in/hussain-al-habobi-45918242,"Founder/GM in holiday homes rental and Airbnb management; possible smaller-operator ICP.",66,Research only,Verify portfolio size and contact route
McLiving / Natalia McLellan,Property/holiday-home operator founder,https://ae.linkedin.com/in/natalia-mclellan-4b10651b5,"Founder/CEO with Dubai property and Airbnb/holiday homes background; potential advisory or audit prospect.",62,Research only,Qualify current operating portfolio
First Class Property Management,Dubai STR operator,https://ae.linkedin.com/company/firstclass-dxb,"Public LinkedIn company profile and STR market commentary; larger operator/benchmark, possibly too mature for early beta.",58,Research only,Use mainly as market benchmark unless warm route exists
GuestReady UAE,Large operator / benchmark,https://www.guestready.com/airbnb-management/dubai/,"Large professional manager with public pricing/revenue positioning; not ideal early prospect but useful benchmark.",45,Benchmark only,Do not prioritise for early outreach
